VTX, IDX, inPosition.x, inPosition.y, inPosition.z, inColor.x, inColor.y, inColor.z, inColor.w
7277, 7277, -2.93737, 23.67043, -107.88916, -107.88916, 0.00, 1.00, 1.00
7278, 7278, -2.93737, 23.67043, -107.88916, -107.88916, 0.00, 1.00, 1.00
7279, 7279, -3.66458, 23.67043, -108.24567, -108.24567, 0.00, 1.00, 1.00
7280, 7280, -3.66458, 23.5065, -108.24567, -108.24567, 0.00, 1.00, 1.00
7281, 7281, -3.27191, 23.5065, -109.04663, -109.04663, 0.00, 1.00, 1.00
7282, 7282, -3.27191, 23.5065, -109.04663, -109.04663, 0.00, 1.00, 1.00
7283, 7283, -2.5447, 23.5065, -108.69012, -108.69012, 0.00, 1.00, 1.00
7284, 7284, -2.5447, 23.5065, -108.69012, -108.69012, 0.00, 1.00, 1.00
7285, 7285, -2.93737, 23.5065, -107.88916, -107.88916, 0.00, 1.00, 1.00
7286, 7286, -2.93737, 23.5065, -107.88916, -107.88916, 0.00, 1.00, 1.00
7287, 7287, -3.66458, 23.5065, -108.24567, -108.24567, 0.00, 1.00, 1.00
7288, 7288, -3.66458, 23.67043, -108.24567, -108.24567, 0.00, 1.00, 1.00
7289, 7289, -3.66458, 23.5065, -108.24567, -108.24567, 0.00, 1.00, 1.00
7290, 7290, -3.27191, 23.67043, -109.04663, -109.04663, 0.00, 1.00, 1.00
7291, 7291, -3.27191, 23.5065, -109.04663, -109.04663, 0.00, 1.00, 1.00
7292, 7292, -2.5447, 23.67043, -108.69012, -108.69012, 0.00, 1.00, 1.00
7293, 7293, -2.5447, 23.5065, -108.69012, -108.69012, 0.00, 1.00, 1.00
7294, 7294, -2.93737, 23.67043, -107.88916, -107.88916, 0.00, 1.00, 1.00
7295, 7295, -2.93737, 23.5065, -107.88916, -107.88916, 0.00, 1.00, 1.00
7296, 7296, 99.04897, 1.96769, -430.68338, -430.68338, 0.00, 1.00, 1.00
7297, 7297, 99.0352, 1.96769, -431.57529, -431.57529, 0.00, 1.00, 1.00
7298, 7298, 99.0352, 1.96769, -431.57529, -431.57529, 0.00, 1.00, 1.00
7299, 7299, 99.845, 1.96769, -431.5878, -431.5878, 0.00, 1.00, 1.00
7300, 7300, 99.845, 1.96769, -431.5878, -431.5878, 0.00, 1.00, 1.00
7301, 7301, 99.85876, 1.96769, -430.69589, -430.69589, 0.00, 1.00, 1.00
7302, 7302, 99.85876, 1.96769, -430.69589, -430.69589, 0.00, 1.00, 1.00
7303, 7303, 99.04897, 1.96769, -430.68338, -430.68338, 0.00, 1.00, 1.00
7304, 7304, 99.04897, 1.80375, -430.68338, -430.68338, 0.00, 1.00, 1.00
7305, 7305, 99.0352, 1.80375, -431.57529, -431.57529, 0.00, 1.00, 1.00
7306, 7306, 99.0352, 1.80375, -431.57529, -431.57529, 0.00, 1.00, 1.00
7307, 7307, 99.845, 1.80375, -431.5878, -431.5878, 0.00, 1.00, 1.00
7308, 7308, 99.845, 1.80375, -431.5878, -431.5878, 0.00, 1.00, 1.00
7309, 7309, 99.85876, 1.80375, -430.69589, -430.69589, 0.00, 1.00, 1.00
7310, 7310, 99.85876, 1.80375, -430.69589, -430.69589, 0.00, 1.00, 1.00
7311, 7311, 99.04897, 1.80375, -430.68338, -430.68338, 0.00, 1.00, 1.00
7312, 7312, 99.04897, 1.96769, -430.68338, -430.68338, 0.00, 1.00, 1.00
7313, 7313, 99.04897, 1.80375, -430.68338, -430.68338, 0.00, 1.00, 1.00
7314, 7314, 99.0352, 1.96769, -431.57529, -431.57529, 0.00, 1.00, 1.00
7315, 7315, 99.0352, 1.80375, -431.57529, -431.57529, 0.00, 1.00, 1.00
7316, 7316, 99.845, 1.96769, -431.5878, -431.5878, 0.00, 1.00, 1.00
